Cidade,Estado,Sigla
Rio Pardo de Minas,Minas Gerais,MG
Rio Piracicaba,Minas Gerais,MG
Rio Pomba,Minas Gerais,MG
Rio Preto,Minas Gerais,MG
Rio Vermelho,Minas Gerais,MG
Ritápolis,Minas Gerais,MG
Rochedo de Minas,Minas Gerais,MG
Rodeiro,Minas Gerais,MG
Romaria,Minas Gerais,MG
Rosário da Limeira,Minas Gerais,MG
Rubelita,Minas Gerais,MG
Rubim,Minas Gerais,MG
Sabará,Minas Gerais,MG
Sabinópolis,Minas Gerais,MG
Sacramento,Minas Gerais,MG
Salinas,Minas Gerais,MG
Salto da Divisa,Minas Gerais,MG
Santa Bárbara,Minas Gerais,MG
Santa Bárbara do Leste,Minas Gerais,MG
Santa Bárbara do Monte Verde,Minas Gerais,MG
Santa Bárbara do Tugúrio,Minas Gerais,MG
Santa Cruz de Minas,Minas Gerais,MG
Santa Cruz de Salinas,Minas Gerais,MG
Santa Cruz do Escalvado,Minas Gerais,MG
Santa Efigênia de Minas,Minas Gerais,MG
Santa Fé de Minas,Minas Gerais,MG
Santa Helena de Minas,Minas Gerais,MG
Santa Juliana,Minas Gerais,MG
Santa Luzia,Minas Gerais,MG
Santa Margarida,Minas Gerais,MG
Santa Maria de Itabira,Minas Gerais,MG
Santa Maria do Salto,Minas Gerais,MG
Santa Maria do Suaçuí,Minas Gerais,MG
Santa Rita de Caldas,Minas Gerais,MG
Santa Rita de Ibitipoca,Minas Gerais,MG
Santa Rita de Jacutinga,Minas Gerais,MG
Santa Rita de Minas,Minas Gerais,MG
Santa Rita do Itueto,Minas Gerais,MG
Santa Rita do Sapucaí,Minas Gerais,MG
Santa Rosa da Serra,Minas Gerais,MG
Santa Vitória,Minas Gerais,MG
Santana da Vargem,Minas Gerais,MG
Santana de Cataguases,Minas Gerais,MG
Santana de Pirapama,Minas Gerais,MG
Santana do Deserto,Minas Gerais,MG
Santana do Garambéu,Minas Gerais,MG
Santana do Jacaré,Minas Gerais,MG
Santana do Manhuaçu,Minas Gerais,MG
Santana do Paraíso,Minas Gerais,MG
Santana do Riacho,Minas Gerais,MG
Santana dos Montes,Minas Gerais,MG
Santo Antônio do Amparo,Minas Gerais,MG
Santo Antônio do Aventureiro,Minas Gerais,MG
Santo Antônio do Grama,Minas Gerais,MG
Santo Antônio do Itambé,Minas Gerais,MG
Santo Antônio do Jacinto,Minas Gerais,MG
Santo Antônio do Monte,Minas Gerais,MG
Santo Antônio do Retiro,Minas Gerais,MG
Santo Antônio do Rio Abaixo,Minas Gerais,MG
